person_id;cohort_name;big5.chatty;big5.cold;big5.thorough;big5.depressed;big5.original;big5.quiet;big5.helpful;big5.unorganized;big5.relaxed;big5.wild_imagination;big5.outgoing;big5.rude;big5.planner;big5.worried_a_lot;big5.speculate;big5.shy;big5.considerate;big5.uncareful;big5.nervous;big5.not_artistic;big5_extrovert_tot;big5_openness_tot;big5_agreeableness_tot;big5_conscientiousness_tot;big5.relaxed_rev;big5_neuroticism_tot
1030;V-2024;4;5;6;1;4;4;7;7;6;1;5;5;7;2;5;7;7;5;2;2;20;12;24;25;2;7
1010;V-2024;7;7;7;2;4;7;4;7;5;4;7;5;7;6;7;7;6;3;2;2;28;17;22;24;3;13
1921;V-2024;6;7;6;1;6;6;6;7;6;6;7;7;6;2;6;7;7;7;2;7;26;25;27;26;2;7
1441;V-2024;3;7;6;1;4;4;7;7;6;5;5;7;5;5;4;5;7;7;5;5;17;18;28;25;2;13
1561;V-2024;6;7;6;1;5;7;6;6;3;2;6;3;3;5;2;7;7;3;5;6;26;15;23;18;5;16
1345;V-2024;7;7;6;1;6;4;6;3;3;7;7;7;4;6;7;7;7;3;5;1;25;21;27;16;5;17
1592;V-2024;5;5;7;6;1;2;5;5;2;1;2;5;7;7;1;4;7;7;7;6;13;9;22;26;6;26
1585;V-2024;4;7;7;2;4;2;6;7;6;5;5;6;7;6;3;7;7;7;4;4;18;16;26;28;2;14
1660;V-2024;4;6;6;3;5;3;6;7;5;5;5;6;7;5;5;4;7;6;6;7;16;22;25;26;3;17
1012;V-2024;6;5;3;2;7;7;7;4;6;7;6;3;6;1;7;3;7;3;3;7;22;28;22;16;2;8
1293;V-2024;6;7;7;1;5;7;5;7;4;2;6;7;7;3;4;7;7;7;3;4;26;15;26;28;4;11
1849;V-2024;3;6;7;4;5;3;6;6;2;2;2;7;7;6;5;6;7;7;6;4;14;16;26;27;6;22
1707;V-2024;5;5;7;2;4;4;5;7;3;6;3;6;7;7;6;4;7;6;7;6;16;22;23;27;5;21
1303;V-2024;5;4;7;1;6;4;5;7;5;3;6;7;6;6;5;5;6;6;6;5;20;19;22;26;3;16
1937;V-2024;4;4;7;2;7;1;7;7;6;6;5;7;7;5;6;5;7;7;5;2;15;21;25;28;2;14
1678;V-2024;7;7;7;1;7;4;7;7;4;7;7;7;7;4;7;7;7;7;4;4;25;25;28;28;4;13
1338;V-2024;2;6;7;1;4;3;6;7;4;3;3;7;7;1;5;3;7;5;4;4;11;16;26;26;4;10
1350;V-2024;5;5;6;4;6;5;6;5;6;5;7;6;5;2;7;6;6;2;2;5;23;23;23;18;2;10
1922;V-2024;7;7;7;1;5;6;7;7;7;5;6;7;7;5;5;6;7;7;4;6;25;21;28;28;1;11
1658;V-2024;7;6;7;1;7;5;5;7;5;6;5;4;5;4;6;7;7;2;2;6;24;25;22;21;3;10
1107;V-2024;7;7;7;2;6;7;7;6;6;7;6;7;6;3;6;6;7;6;2;2;26;21;28;25;2;9
1752;V-2024;4;6;6;1;3;5;6;6;3;3;4;6;7;5;3;4;7;4;7;1;17;10;25;23;5;18
1543;V-2024;4;4;7;2;5;5;7;7;7;3;4;7;7;3;5;7;7;4;3;6;20;19;25;25;1;9
1518;V-2024;4;3;7;1;7;4;7;5;7;3;4;4;3;1;4;5;6;7;1;5;17;19;20;22;1;4
1775;V-2024;4;5;5;5;4;4;7;6;5;6;4;7;4;5;6;3;7;4;4;3;15;19;26;19;3;17
1998;V-2024;5;6;6;1;4;6;5;6;6;3;6;6;5;2;3;6;7;6;3;1;23;11;24;23;2;8
1004;V-2024;6;6;6;3;5;4;6;6;5;7;7;3;6;5;7;4;6;3;5;6;21;25;21;21;3;16
1043;V-2024;5;6;5;2;2;4;5;6;1;7;5;6;4;7;5;3;6;6;4;1;17;15;23;21;7;20
1189;V-2024;2;4;6;1;4;1;6;7;6;2;2;7;7;1;5;3;7;7;1;1;8;12;24;27;2;5
1171;V-2024;6;5;5;1;4;6;5;3;6;2;6;5;6;1;6;6;6;5;3;2;24;14;21;19;2;7
1039;V-2024;6;6;6;1;3;3;6;5;2;2;6;7;5;5;1;3;7;7;5;6;18;12;26;23;6;17
1810;V-2024;7;3;7;1;5;3;2;3;1;6;7;7;7;2;6;7;7;6;7;2;24;19;19;23;7;17
1216;V-2024;4;6;6;2;5;4;6;6;3;6;4;6;7;6;5;4;7;4;6;7;16;23;25;23;5;19
1747;V-2024;5;7;7;2;6;6;7;6;5;6;6;7;7;4;7;7;7;7;4;7;24;26;28;27;3;13
1291;V-2024;7;4;6;4;4;4;4;4;5;6;6;6;4;5;5;4;7;3;4;3;21;18;21;17;3;16
1058;V-2024;4;6;6;1;5;3;7;6;6;3;4;7;6;2;6;6;7;6;4;2;17;16;27;24;2;9
1395;V-2024;7;5;6;2;4;7;6;3;3;3;6;5;5;6;4;7;6;6;4;2;27;13;22;20;5;17
1184;V-2024;6;6;6;2;4;6;6;6;4;3;6;6;6;3;4;6;6;5;4;2;24;13;24;23;4;13
1737;V-2024;5;6;6;1;4;4;6;6;2;6;5;7;6;6;5;6;7;6;7;4;20;19;26;24;6;20
1456;V-2024;6;6;7;1;5;7;5;6;6;6;7;7;4;4;4;7;7;2;2;3;27;18;25;19;2;9
1022;V-2024;5;6;6;1;5;5;6;7;6;3;7;6;6;3;4;7;7;6;1;3;24;15;25;25;2;7
1170;V-2024;7;2;6;2;5;6;3;3;4;5;7;5;4;6;5;6;6;3;6;2;26;17;16;16;4;18
1588;V-2024;3;6;7;4;3;4;7;5;2;4;5;7;5;7;5;5;7;7;7;5;17;17;27;24;6;24
1063;V-2024;5;7;7;1;6;6;7;7;5;5;7;6;6;5;5;7;7;5;5;5;25;21;27;25;3;14
1855;V-2024;4;6;7;1;4;3;6;6;3;1;4;6;6;3;3;6;7;5;5;1;17;9;25;24;5;14
1908;V-2024;7;5;6;3;1;7;4;7;5;3;6;7;7;4;4;6;7;6;2;2;26;10;23;26;3;12
1417;V-2024;6;7;5;1;4;6;5;5;5;4;7;6;5;3;4;6;7;6;3;6;25;18;25;21;3;10
1573;V-2024;3;6;6;5;3;3;7;5;6;3;6;7;3;6;3;3;7;6;7;2;15;11;27;20;2;20
1070;V-2024;6;7;6;1;5;6;6;6;5;7;7;7;7;2;7;2;7;3;5;7;21;26;27;22;3;11
1059;V-2024;6;6;7;2;5;6;7;7;4;6;7;6;7;2;4;5;7;6;2;3;24;18;26;27;4;10
1643;V-2024;7;6;7;1;6;6;7;7;7;5;7;6;6;1;5;7;7;4;1;4;27;20;26;24;1;4
1484;V-2024;7;5;6;1;7;7;7;6;3;7;7;7;6;4;7;7;7;4;2;7;28;28;26;22;5;12
1804;V-2024;6;7;7;1;5;5;4;7;4;4;7;6;6;5;7;4;6;5;5;4;22;20;23;25;4;15
1203;V-2024;7;7;7;1;6;6;7;7;7;4;7;7;7;2;5;7;7;6;5;1;27;16;28;27;1;9
1227;V-2024;3;7;5;2;4;4;6;6;1;4;5;6;4;4;4;4;7;6;5;3;16;15;26;21;7;18
1243;V-2024;5;6;6;1;6;4;6;7;7;4;6;7;5;1;4;7;6;7;3;2;22;16;25;25;1;6
1413;V-2024;5;6;6;1;5;2;7;5;5;7;6;6;7;5;7;3;7;6;6;6;16;25;26;24;3;15
1577;V-2024;5;5;7;5;4;4;1;6;1;1;6;7;7;7;2;4;6;4;6;1;19;8;19;24;7;25
1542;V-2024;6;6;7;1;4;6;7;7;7;4;6;7;6;2;2;7;7;4;4;4;25;14;27;24;1;8
1476;V-2024;5;5;7;1;5;5;6;7;7;7;6;1;7;4;5;7;7;4;3;5;23;22;19;25;1;9
1885;V-2024;5;4;6;1;6;5;7;1;7;6;6;4;3;1;7;7;7;3;2;7;23;26;22;13;1;5
1522;V-2024;6;7;7;1;4;6;7;7;5;5;6;7;7;3;6;7;7;7;3;6;25;21;28;28;3;10
1405;V-2024;4;5;7;5;4;3;5;5;2;3;4;6;5;7;4;4;7;5;6;6;15;17;23;22;6;24
1397;V-2024;3;4;5;1;5;2;5;4;6;6;3;6;3;4;4;3;5;3;5;5;11;20;20;15;2;12
1716;V-2024;6;6;6;3;4;6;5;5;4;4;4;4;5;4;6;6;3;4;3;4;22;18;18;20;4;14
1797;V-2024;2;6;6;1;4;3;4;5;2;3;5;7;6;7;4;4;7;6;7;7;14;18;24;23;6;21
1607;V-2024;4;4;5;2;3;2;6;6;5;2;6;6;3;5;4;6;6;2;5;2;18;11;22;16;3;15
1801;V-2024;5;7;7;4;7;3;5;6;2;7;5;6;5;5;6;5;7;7;5;7;18;27;25;25;6;20
1501;V-2024;6;6;6;1;6;6;6;6;7;5;6;6;6;3;4;6;6;4;4;2;24;17;24;22;1;9
1429;V-2024;7;7;6;1;4;7;6;7;6;4;7;7;6;2;5;7;7;6;4;1;28;14;27;25;2;9
1778;V-2024;3;6;7;1;4;5;5;6;3;5;6;6;6;5;4;6;6;4;5;6;20;19;23;23;5;16
1205;V-2024;6;6;5;1;7;6;5;5;6;7;6;5;5;2;7;4;6;3;6;7;22;28;22;18;2;11
1475;V-2024;7;7;7;5;5;7;7;7;1;1;7;7;6;6;3;7;7;7;4;4;28;13;28;27;7;22
1104;V-2024;1;4;7;4;5;3;5;6;6;5;1;3;2;7;5;4;7;3;6;5;9;20;19;18;2;19
1210;V-2024;7;7;6;2;5;6;6;6;5;6;7;6;7;6;6;7;7;5;4;6;27;23;26;24;3;15
1471;V-2024;1;3;6;3;6;1;7;7;6;1;4;6;2;4;5;7;7;6;6;1;13;13;23;21;2;15
1671;V-2024;7;6;7;1;6;5;6;6;6;5;6;6;6;2;6;6;6;3;2;6;24;23;24;22;2;7
1066;V-2024;7;7;7;1;6;6;6;6;4;5;7;7;6;4;5;7;7;5;4;4;27;20;27;24;4;13
1088;V-2024;7;7;6;1;6;7;5;6;7;7;7;3;6;2;6;7;6;3;2;5;28;24;21;21;1;6
1358;V-2024;7;6;7;1;6;7;5;7;5;6;7;6;7;2;6;7;6;4;4;3;28;21;23;25;3;10
1601;V-2024;7;6;6;1;6;6;7;5;6;6;7;6;6;5;5;5;7;4;4;4;25;21;26;21;2;12
1309;V-2024;4;6;7;1;7;3;7;7;7;7;5;6;7;2;5;6;7;6;2;7;18;26;26;27;1;6
1936;V-2024;6;6;6;3;4;3;6;6;5;3;6;6;6;5;2;7;6;6;5;6;22;15;24;24;3;16
1294;V-2024;4;3;6;1;5;3;6;6;6;5;4;3;6;3;5;3;5;5;5;5;14;20;17;23;2;11
1421;V-2024;5;6;6;1;5;6;6;6;5;6;7;5;7;2;5;6;7;5;3;5;24;21;24;24;3;9
1715;V-2024;1;7;5;5;4;1;5;2;4;3;2;5;4;4;4;3;6;4;6;4;7;15;23;15;4;19
1978;V-2024;2;2;7;1;4;1;6;2;6;2;4;4;7;7;2;4;7;6;3;1;11;9;19;22;2;13
1430;V-2024;5;7;6;1;4;5;6;5;7;2;7;7;6;1;2;6;7;5;6;3;23;11;27;22;1;9
1732;V-2024;6;2;6;1;7;4;7;6;5;7;6;3;7;2;7;6;7;3;2;7;22;28;19;22;3;8
