person_id;cohort_name;foreign;mover;education;big5.chatty;big5.cold;big5.thorough;big5.depressed;big5.original;big5.quiet;big5.helpful;big5.unorganized;big5.relaxed;big5.wild_imagination;big5.outgoing;big5.rude;big5.planner;big5.worried_a_lot;big5.speculate;big5.shy;big5.considerate;big5.uncareful;big5.nervous;big5.not_artistic;big5_extrovert_tot;big5_openness_tot;big5_agreeableness_tot;big5_conscientiousness_tot;big5.relaxed_rev;big5_neuroticism_tot;big5_extrovert_mean;big5_openness_mean;big5_agreeableness_mean;big5_conscientiousness_mean;big5_neuroticism_mean
1667;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1460;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1060;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1449;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1548;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1924;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1019;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1649;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1638;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1670;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1319;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1116;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1145;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1102;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1214;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1390;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1597;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1980;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1160;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1077;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1529;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1962;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1126;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1262;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1442;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1181;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1779;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;H-2022;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1163;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1474;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1228;H-2022;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
