person_id;cohort_name;gender;age;mbti_personality;mbti_personality_text;mbti_extrovert;mbti_perc_e_i;mbti_intuitive;mbti_perc_n_s;mbti_feeling;mbti_perc_t_f;mbti_judging;mbti_perc_j_p;mbti_assertive;mbti_perc_a_t;big5.chatty;big5.cold;big5.thorough;big5.depressed;big5.original;big5.quiet;big5.helpful;big5.unorganized;big5.relaxed;big5.wild_imagination;big5.outgoing;big5.rude;big5.planner;big5.worried_a_lot;big5.speculate;big5.shy;big5.considerate;big5.uncareful;big5.nervous;big5.not_artistic;big5_extrovert_tot;big5_openness_tot;big5_agreeableness_tot;big5_conscientiousness_tot;big5.relaxed_rev;big5_neuroticism_tot;big5_extrovert_mean;big5_openness_mean;big5_agreeableness_mean;big5_conscientiousness_mean;big5_neuroticism_mean
ID7356;H-2024;1;20;8;ENFP;E;;N;;F;;P;;;;5;6;6;2;6;4;6;6;6;7;5;5;5;4;5;4;6;3;3;7;18;25;23;20;2;11;4,50;6,25;5,75;5,00;2,75
ID7920;H-2024;0;20;11;ESTJ;E;;S;;T;;J;;;;5;5;6;1;2;5;5;6;4;1;4;6;5;4;5;5;6;4;5;1;19;9;22;21;4;14;4,75;2,25;5,50;5,25;3,50
ID7066;H-2024;0;22;7;ENFJ;E;;N;;F;;J;;;;6;5;6;1;5;5;5;4;2;5;6;6;6;5;5;4;7;4;5;5;21;20;23;20;6;17;5,25;5,00;5,75;5,00;4,25
ID7990;H-2024;1;22;4;ENTP;E;;N;;T;;P;;;;5;6;3;1;5;6;6;3;7;4;6;6;4;1;5;6;7;2;1;1;23;15;25;12;1;4;5,75;3,75;6,25;3,00;1,00
ID7173;H-2024;0;25;7;ENFJ;E;;N;;F;;J;;;;7;7;5;2;5;7;6;5;5;6;7;5;5;3;5;7;7;7;2;5;28;21;25;22;3;10;7,00;5,25;6,25;5,50;2,50
ID5004;H-2024;1;19;1;INTJ;I;;N;;T;;J;;;;5;6;7;2;5;3;6;6;6;6;5;6;7;5;4;5;7;7;5;5;18;20;25;27;2;14;4,50;5,00;6,25;6,75;3,50
ID4623;H-2024;0;21;12;ESFJ;E;;S;;F;;J;;;;6;4;7;1;4;3;7;7;5;1;6;7;7;7;3;7;7;7;6;1;22;9;25;28;3;17;5,50;2,25;6,25;7,00;4,25
ID6953;H-2024;1;21;2;INTP;I;;N;;T;;P;;;;3;4;6;2;6;3;5;4;6;6;4;4;6;3;7;5;5;3;3;2;15;21;18;19;2;10;3,75;5,25;4,50;4,75;2,50
ID6693;H-2024;1;36;1;INTJ;I;;N;;T;;J;;;;3;5;6;5;4;2;6;6;3;4;2;6;4;6;4;3;6;6;6;2;10;14;23;22;5;22;2,50;3,50;5,75;5,50;5,50
ID4400;H-2024;0;21;12;ESFJ;E;;S;;F;;J;;;;6;7;7;1;5;7;7;7;4;5;7;7;7;5;5;7;7;6;5;3;27;18;28;27;4;15;6,75;4,50;7,00;6,75;3,75
