person_id;cohort_year;cohort_semester;cohort_name;mbti_personality_text;mbti_personality;mbti_extrovert;mbti_intuitive;mbti_feeling;mbti_judging;mbti_perc_e_i;mbti_perc_n_s;mbti_perc_t_f;mbti_perc_j_p;mbti_assertive;mbti_perc_a_t
id1;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id2;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id3;2022;h;H-2022;ISFP;14;I;S;F;P;;;;;;
id4;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id5;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id6;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id7;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id8;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id9;2022;h;H-2022;INFJ;5;I;N;F;J;;;;;;
id10;2022;h;H-2022;INFJ;5;I;N;F;J;;;;;;
id11;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id12;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id13;2022;h;H-2022;ISFP;14;I;S;F;P;;;;;;
id14;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id15;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id16;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id17;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id18;2022;h;H-2022;INTP;2;I;N;T;P;;;;;;
id19;2022;h;H-2022;INTJ;1;I;N;T;J;;;;;;
id20;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id21;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id22;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id23;2022;h;H-2022;ESTP;15;E;S;T;P;;;;;;
id24;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id25;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id26;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id27;2022;h;H-2022;ISTJ;9;I;S;T;J;;;;;;
id28;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id29;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id30;2022;h;H-2022;INFJ;5;I;N;F;J;;;;;;
id31;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id32;2022;h;H-2022;ENFP;8;E;N;F;P;;;;;;
id33;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id34;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id35;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id36;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id37;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id38;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id39;2022;h;H-2022;ISTJ;9;I;S;T;J;;;;;;
id40;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id41;2022;h;H-2022;INFJ;5;I;N;F;J;;;;;;
id42;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id43;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id44;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id45;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id46;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id47;2022;h;H-2022;INTJ;1;I;N;T;J;;;;;;
id48;2022;h;H-2022;INFJ;5;I;N;F;J;;;;;;
id49;2022;h;H-2022;INFP;6;I;N;F;P;;;;;;
id50;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id51;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id52;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id53;2022;h;H-2022;ENFP;8;E;N;F;P;;;;;;
id54;2022;h;H-2022;ISTJ;9;I;S;T;J;;;;;;
id55;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id56;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id57;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id58;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id59;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id60;2022;h;H-2022;INFJ;5;I;N;F;J;;;;;;
id61;2022;h;H-2022;INFJ;5;I;N;F;J;;;;;;
id62;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id63;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id64;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id65;2022;h;H-2022;ESTP;15;E;S;T;P;;;;;;
id66;2022;h;H-2022;ISTP;13;I;S;T;P;;;;;;
id67;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id68;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id69;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id70;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id71;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id72;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id73;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id74;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id75;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id76;2022;h;H-2022;ENFP;8;E;N;F;P;;;;;;
id80;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id85;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id86;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id87;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id88;2022;h;H-2022;ISFP;14;I;S;F;P;;;;;;
id89;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id90;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id91;2022;h;H-2022;ESTJ;11;E;S;T;J;;;;;;
id92;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id93;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id94;2022;h;H-2022;ENFJ;7;E;N;F;J;;;;;;
id95;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id96;2022;h;H-2022;ISFJ;10;I;S;F;J;;;;;;
id97;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id98;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id99;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id100;2022;h;H-2022;ESFP;16;E;S;F;P;;;;;;
id101;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
id102;2022;h;H-2022;ESFJ;12;E;S;F;J;;;;;;
2283;2024;v;V-2024;ESTP;15;E;S;T;P;;;;;;
