"MBTI";"n_Female";"n_Male";"denom_Female";"denom_Male";"prop_text_Female";"prop_text_Male"
"ENFJ";"82";"15";"283";"133";"29% (24–35)";"11% (7–18)"
"ESFJ";"43";"9";"283";"133";"15% (11–20)";"7% (4–12)"
"INFJ";"28";"5";"283";"133";"10% (7–14)";"4% (2–8)"
"ENFP";"22";"4";"283";"133";"8% (5–11)";"3% (1–7)"
"ENTJ";"20";"33";"283";"133";"7% (5–11)";"25% (18–33)"
"INTJ";"16";"17";"283";"133";"6% (4–9)";"13% (8–20)"
"ISTJ";"14";"9";"283";"133";"5% (3–8)";"7% (4–12)"
"ISFJ";"14";"0";"283";"133";"5% (3–8)";"0% (0–3)"
"ESTJ";"14";"9";"283";"133";"5% (3–8)";"7% (4–12)"
"INFP";"9";"3";"283";"133";"3% (2–6)";"2% (1–6)"
"ESTP";"5";"5";"283";"133";"2% (1–4)";"4% (2–8)"
"ESFP";"7";"3";"283";"133";"2% (1–5)";"2% (1–6)"
"INTP";"3";"5";"283";"133";"1% (0–3)";"4% (2–8)"
"ENTP";"3";"11";"283";"133";"1% (0–3)";"8% (5–14)"
"ISFP";"2";"2";"283";"133";"1% (0–3)";"2% (0–5)"
"ISTP";"1";"3";"283";"133";"0% (0–2)";"2% (1–6)"
